TIME,open,high,low,close
2021-01-04 08:00:00,6.09228,6.09366,6.09019,6.09137
2021-01-04 08:15:00,6.09133,6.09133,6.08804,6.089
2021-01-04 08:30:00,6.08894,6.08899,6.0867,6.08813
2021-01-04 08:45:00,6.08812,6.08984,6.08779,6.08862
2021-01-04 09:00:00,6.08859,6.09438,6.08859,6.09385
2021-01-04 09:15:00,6.09383,6.0963,6.09278,6.09612
2021-01-04 09:30:00,6.09617,6.10066,6.09479,6.09834
2021-01-04 09:45:00,6.09633,6.10177,6.09633,6.10075
2021-01-04 10:00:00,6.10072,6.10252,6.10009,6.10153
2021-01-04 10:15:00,6.10152,6.10243,6.09981,6.10209
2021-01-04 10:30:00,6.10203,6.10349,6.10068,6.10224
2021-01-04 10:45:00,6.10259,6.10376,6.10206,6.10349
2021-01-04 11:00:00,6.10349,6.10539,6.10318,6.10405
2021-01-04 11:15:00,6.10405,6.10617,6.10394,6.10562
2021-01-04 11:30:00,6.10556,6.10602,6.10445,6.10564
2021-01-04 11:45:00,6.10562,6.10633,6.10398,6.10473
2021-01-04 12:00:00,6.10473,6.10572,6.1036,6.10548
2021-01-04 12:15:00,6.10547,6.10547,6.10389,6.10389
2021-01-04 12:30:00,6.1039,6.10401,6.10142,6.10179
2021-01-04 12:45:00,6.10196,6.10229,6.10121,6.10212
2021-01-04 13:00:00,6.10213,6.10274,6.10106,6.10122
2021-01-04 13:15:00,6.10119,6.10135,6.0955,6.0955
2021-01-04 13:30:00,6.09552,6.0996,6.09552,6.09827
2021-01-04 13:45:00,6.09827,6.10171,6.09718,6.10055
2021-01-04 14:00:00,6.10057,6.10317,6.10019,6.10119
2021-01-04 14:15:00,6.10121,6.10187,6.09881,6.09975
2021-01-04 14:30:00,6.09971,6.10367,6.09971,6.10336
2021-01-04 14:45:00,6.10337,6.1041,6.10228,6.10354
2021-01-04 15:00:00,6.10369,6.10741,6.10369,6.10685
2021-01-04 15:15:00,6.10686,6.1085,6.10542,6.10667
2021-01-04 15:30:00,6.10667,6.10878,6.1065,6.10842
2021-01-04 15:45:00,6.10838,6.11096,6.10359,6.10536
2021-01-04 16:00:00,6.10526,6.10699,6.10258,6.10434
2021-01-04 16:15:00,6.10436,6.10716,6.10104,6.10345
2021-01-04 16:30:00,6.10342,6.10694,6.103,6.10659
2021-01-04 16:45:00,6.1066,6.11092,6.10581,6.10957
2021-01-04 17:00:00,6.10956,6.11127,6.10834,6.1085
2021-01-04 17:15:00,6.10843,6.11601,6.10843,6.1147
2021-01-04 17:30:00,6.11469,6.11626,6.11435,6.11555
2021-01-04 17:45:00,6.11555,6.11648,6.11291,6.11577
2021-01-04 18:00:00,6.11578,6.12049,6.11532,6.11882
2021-01-04 18:15:00,6.11884,6.11906,6.11537,6.11648
2021-01-04 18:30:00,6.11623,6.11715,6.11386,6.11467
2021-01-04 18:45:00,6.11467,6.11634,6.11351,6.11428
2021-01-04 19:00:00,6.11429,6.11751,6.11405,6.11558
2021-01-04 19:15:00,6.11569,6.11685,6.11189,6.11321
2021-01-04 19:30:00,6.11323,6.11354,6.11051,6.11057
2021-01-04 19:45:00,6.11055,6.11214,6.1082,6.11013
2021-01-04 20:00:00,6.10995,6.11029,6.10437,6.10675
2021-01-04 20:15:00,6.10663,6.11187,6.10644,6.11121
2021-01-04 20:30:00,6.11099,6.11142,6.10591,6.1065
2021-01-04 20:45:00,6.1065,6.10712,6.10207,6.1052
2021-01-04 21:00:00,6.10523,6.10603,6.09962,6.10214
2021-01-04 21:15:00,6.10215,6.10289,6.09751,6.09772
2021-01-04 21:30:00,6.09773,6.10552,6.09773,6.10552
2021-01-04 21:45:00,6.10558,6.10742,6.10162,6.10453
2021-01-04 22:00:00,6.10432,6.10664,6.10319,6.10507
2021-01-04 22:15:00,6.10497,6.10602,6.09988,6.10006
2021-01-04 22:30:00,6.10007,6.1061,6.09512,6.09912
2021-01-04 22:45:00,6.09434,6.10383,6.09434,6.10083
2021-01-04 23:00:00,6.10084,6.10333,6.09657,6.09794
2021-01-04 23:15:00,6.09794,6.09976,6.08831,6.08834
2021-01-04 23:30:00,6.08828,6.09283,6.08438,6.09271
2021-01-04 23:45:00,6.09271,6.09271,6.08357,6.08703
2021-01-05 00:00:00,6.08695,6.08696,6.07571,6.0831
2021-01-05 00:15:00,6.08311,6.08366,6.07906,6.08072
2021-01-05 00:30:00,6.08055,6.0828,6.07395,6.07575
2021-01-05 00:45:00,6.07579,6.07666,6.06467,6.06469
